case_id,faa_ors,faa_asn,usgs_pr_id,eia_id,t_state,t_county,t_fips,p_name,p_year,p_tnum,p_cap,t_manu,t_model,t_cap,t_hh,t_rd,t_rsa,t_ttlh,retrofit,retrofit_year,t_conf_atr,t_conf_loc,t_img_date,t_img_srce,xlong,ylat
3124762,,2021-WTW-4560-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,10/3/2022,Digital Globe,-101.509605,36.483604
3123270,48-193915,2021-WTW-4891-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,8/29/2022,Digital Globe,-101.409294,36.300034
3124736,,2021-WTW-4676-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,1,2/17/2022,Digital Globe,-101.589149,36.391991
3123247,48-194003,2021-WTW-4851-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,8/29/2022,Digital Globe,-101.450417,36.332005
3124675,,2021-WTW-4670-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,9/4/2022,Digital Globe,-101.567261,36.403427
3123680,48-194527,2021-WTW-4688-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,1,2/17/2022,Digital Globe,-101.602455,36.362572
3123859,48-192783,2021-WTW-4723-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,9/4/2022,Digital Globe,-101.57048,36.31078
3120147,48-192687,2021-WTW-4737-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,2/17/2022,Digital Globe,-101.505455,36.297955
3123369,48-194886,2021-WTW-4839-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,8/29/2022,Digital Globe,-101.41568,36.344437
3123656,48-194529,2021-WTW-4692-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,9/4/2022,Digital Globe,-101.572235,36.368351
3123261,48-193985,2021-WTW-4863-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,8/29/2022,Digital Globe,-101.431358,36.324146
3118871,48-192489,2021-WTW-4748-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,2/17/2022,Digital Globe,-101.570786,36.283249
3123976,48-193254,2021-WTW-4885-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,8/29/2022,Digital Globe,-101.438744,36.300877
3123714,48-194884,2021-WTW-4675-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,1,2/17/2022,Digital Globe,-101.602608,36.390881
3123472,48-194990,2021-WTW-4621-OE,,,TX,Sherman County,48421,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,1,2/17/2022,Digital Globe,-101.633003,36.415169
3124103,48-194578,2021-WTW-4859-OE,,,TX,Hansford County,48195,Firewheel Wind,2022.0,286,,,,,,,,,0,,1,3,10/3/2022,Digital Globe,-101.463448,36.326218
